Customer_ID,Age,Gender,City,State,Occupation,Account_Type,Account_Balance,Monthly_Income,Credit_Score,Tenure_Years,Number_of_Products,Loan_Status,Loan_Amount,Loan_Tenure,EMI,Monthly_Expenses,Transaction_Count,Transaction_Amount,Average_Transaction_Value,Online_Banking_Usage,Mobile_Banking_Usage,ATM_Usage,Branch_Visits,Credit_Card_Usage,Debit_Card_Usage,Missed_Payments,Late_Payments,Existing_Loans,Debt_to_Income_Ratio,Customer_Satisfaction,Complaints,Support_Calls,Last_Transaction_Date,Churn_Status,Default_Status,Risk_Label,Days_Since_Transaction
CUST000001,41.0,Female,Bangalore,Karnataka,Homemaker,Current,133118,17690.0,556.0,2,2,None,0,0,0,7508,16,15657,978,1,0,1,1,1,1,4,3,0,0.0,2.4,0,1,2024-12-30,0,1,High,1
CUST000002,25.0,Male,Ahmedabad,Gujarat,Salaried,Nri,287165,60121.0,497.0,4,1,Active,386607,60,6443,24153,19,64227,3380,0,1,1,8,0,1,2,2,1,0.107,2.9,6,7,2024-12-30,0,0,Medium,1
CUST000003,47.0,Female,Rohini,Delhi,Homemaker,Salary,49509,23105.0,621.0,6,1,Active,547430,36,15206,15594,21,28334,1349,0,1,18,1,1,1,0,0,1,0.658,3.6,0,3,2024-12-01,0,0,Medium,30
CUST000004,49.0,Male,Indore,Madhya Pradesh,Student,Nri,12644,8563.0,555.0,1,3,Active,69496,36,1930,5392,15,4756,317,1,1,2,7,1,1,6,5,3,0.225,3.6,0,0,2024-11-23,0,0,High,38
CUST000005,18.0,Male,Warangal,Telangana,Self-Employed,Current,71700,33612.0,520.0,4,3,Closed,566689,36,15741,27139,22,9049,411,0,1,19,6,0,1,8,9,2,0.468,3.7,0,3,2024-09-23,0,0,High,99
CUST000006,22.0,Male,Kanpur,Uttar Pradesh,Salaried,Savings,132936,66119.0,453.0,6,1,None,0,0,0,41839,15,45262,3017,1,1,8,1,1,1,1,1,0,0.0,3.7,0,2,2024-12-12,0,0,Low,19
CUST000007,39.0,Male,Visakhapatnam,Andhra Pradesh,Salaried,Salary,351977,50635.0,534.0,0,1,Npa,159131,12,13260,22525,15,25913,1727,0,1,4,0,0,1,2,1,1,0.262,4.5,2,5,2024-12-24,1,1,High,7
CUST000008,34.0,Male,Bangalore,Karnataka,Salaried,Current,71851,47041.0,520.0,4,2,Active,667505,36,18541,19641,22,39618,1800,1,0,14,9,0,1,9,8,1,0.394,5.0,0,3,2024-11-24,0,0,High,37
CUST000009,37.0,Male,Nashik,Maharashtra,Salaried,Savings,828887,106601.0,573.0,0,2,None,0,0,0,74760,25,83108,3324,1,1,2,9,0,1,0,0,0,0.0,2.2,1,3,2024-12-19,0,0,Medium,12
CUST000010,27.0,Male,Ahmedabad,Gujarat,Professional,Savings,507546,80046.0,425.0,2,4,None,0,0,0,37097,17,67623,3977,1,1,11,5,0,1,3,3,0,0.0,2.5,2,2,2024-12-17,0,0,High,14
